Real,Imag
  4209024,        0
    15245,      350
    15283,      707
    15356,     1062
    15449,     1428
    15575,     1801
    15739,     2191
    15924,     2585
    16149,     3008
    16413,     3448
    16732,     3918
    17090,     4415
    17503,     4952
    17987,     5527
    18541,     6167
    19185,     6866
    19931,     7645
    20803,     8521
    21833,     9521
    23052,    10669
    24523,    12022
    26284,    13635
    28508,    15596
    31312,    18037
    34980,    21192
    39956,    25425
    47062,    31414
    58024,    40590
    77090,    56466
   118393,    90749
   274587,   220060
  -685228,  -573872
  -145409,  -127203
   -79158,   -72305
   -53327,   -50849
   -39585,   -39392
   -31065,   -32252
   -25268,   -27382
   -21077,   -23838
   -17904,   -21131
   -15423,   -19000
   -13432,   -17290
   -11796,   -15849
   -10435,   -14650
    -9273,   -13630
    -8285,   -12743
    -7422,   -11963
    -6679,   -11275
    -6019,   -10668
    -5434,   -10115
    -4907,    -9625
    -4437,    -9174
    -4020,    -8762
    -3630,    -8395
    -3279,    -8039
    -2958,    -7723
    -2666,    -7421
    -2396,    -7145
    -2145,    -6883
    -1911,    -6634
    -1698,    -6402
    -1484,    -6195
    -1325,    -5979
    -1144,    -5790
     -974,    -5602
     -818,    -5425
     -677,    -5260
     -539,    -5096
     -405,    -4938
     -286,    -4790
     -164,    -4653
      -53,    -4512
       44,    -4386
      150,    -4254
      240,    -4131
      339,    -4014
      424,    -3897
      510,    -3784
      587,    -3669
      667,    -3569
      741,    -3464
      811,    -3367
      882,    -3270
      951,    -3167
     1016,    -3069
     1081,    -2973
     1137,    -2884
     1202,    -2794
     1257,    -2706
     1313,    -2619
     1369,    -2532
     1423,    -2449
     1476,    -2362
     1530,    -2278
     1578,    -2197
     1626,    -2110
     1678,    -2032
     1727,    -1944
     1772,    -1871
     1817,    -1790
     1871,    -1710
     1914,    -1627
     1958,    -1551
     2002,    -1466
     2044,    -1385
     2098,    -1307
     2144,    -1221
     2188,    -1145
     2227,    -1061
     2275,     -979
     2320,     -891
     2367,     -811
     2408,     -722
     2477,     -626
     2511,     -541
     2561,     -454
     2610,     -358
     2656,     -264
     2705,     -169
     2761,      -69
     2816,       34
     2873,      137
     2925,      241
     2984,      346
     3045,      463
     3108,      579
     3173,      704
     3236,      829
     3305,      962
     3379,     1098
     3452,     1242
     3539,     1394
     3616,     1550
     3701,     1720
     3798,     1885
     3894,     2072
     3997,     2263
     4111,     2470
     4225,     2697
     4350,     2932
     4490,     3189
     4639,     3466
     4802,     3761
     4976,     4083
     5161,     4439
     5371,     4830
     5605,     5256
     5865,     5738
     6157,     6270
     6488,     6876
     6858,     7573
     7290,     8359
     7795,     9284
     8390,    10376
     9108,    11681
     9978,    13279
    11079,    15292
    12493,    17863
    14392,    21332
    17083,    26219
    21154,    33639
    28094,    46270
    42574,    72618
    91520,   161655
  -471266,  -862036
   -63722,  -120718
   -33534,   -65782
   -22446,   -45614
   -16688,   -35132
   -13161,   -28704
   -10776,   -24367
    -9048,   -21229
    -7756,   -18858
    -6739,   -17005
    -5915,   -15523
    -5254,   -14281
    -4692,   -13251
    -4213,   -12379
    -3803,   -11626
    -3445,   -10977
    -3134,   -10394
    -2853,    -9883
    -2612,    -9433
    -2387,    -9022
    -2175,    -8662
    -2026,    -8304
    -1852,    -8007
    -1702,    -7725
    -1561,    -7466
    -1436,    -7224
    -1319,    -7003
    -1202,    -6792
    -1104,    -6606
    -1008,    -6425
     -917,    -6259
     -838,    -6101
     -760,    -5949
     -692,    -5806
     -617,    -5676
     -549,    -5552
     -487,    -5428
     -427,    -5314
     -373,    -5207
     -327,    -5100
     -270,    -5000
     -226,    -4910
     -180,    -4817
     -141,    -4729
      -91,    -4649
      -50,    -4571
       -9,    -4492
       21,    -4421
       59,    -4346
       94,    -4278
      127,    -4213
      152,    -4146
      187,    -4089
      212,    -4021
      248,    -3967
      269,    -3913
      297,    -3855
      318,    -3807
      352,    -3757
      373,    -3706
      402,    -3663
      440,    -3631
      431,    -3551
      452,    -3513
      472,    -3466
      495,    -3432
      513,    -3387
      533,    -3347
      549,    -3308
      569,    -3267
      587,    -3232
      596,    -3195
      629,    -3161
      638,    -3131
      651,    -3091
      667,    -3051
      680,    -3024
      694,    -2994
      708,    -2956
      719,    -2928
      734,    -2899
      748,    -2867
      763,    -2836
      770,    -2808
      782,    -2782
      793,    -2754
      805,    -2728
      817,    -2704
      824,    -2674
      837,    -2652
      849,    -2624
      858,    -2599
      868,    -2578
      880,    -2552
      888,    -2527
      895,    -2508
      907,    -2482
      914,    -2459
      930,    -2435
      932,    -2417
      938,    -2391
      950,    -2369
      957,    -2348
      964,    -2328
      975,    -2309
      982,    -2291
      985,    -2270
     1000,    -2249
     1002,    -2231
     1014,    -2216
     1017,    -2191
     1024,    -2175
     1035,    -2154
     1033,    -2135
     1039,    -2114
     1046,    -2102
     1053,    -2082
     1061,    -2058
     1067,    -2051
     1069,    -2030
     1079,    -2018
     1079,    -2000
     1088,    -1980
     1103,    -1960
     1103,    -1948
     1108,    -1935
     1117,    -1923
     1117,    -1906
     1121,    -1887
     1130,    -1875
     1134,    -1861
     1138,    -1842
     1142,    -1821
     1152,    -1774
     1151,    -1806
     1156,    -1790
     1157,    -1774
     1165,    -1757
     1172,    -1743
     1176,    -1730
     1177,    -1718
     1177,    -1704
     1186,    -1688
     1188,    -1674
     1194,    -1662
     1200,    -1650
     1202,    -1638
     1204,    -1626
     1210,    -1614
     1212,    -1601
     1218,    -1584
     1219,    -1576
     1224,    -1560
     1227,    -1549
     1228,    -1539
     1233,    -1521
     1238,    -1514
     1243,    -1503
     1242,    -1496
     1248,    -1482
     1249,    -1468
     1254,    -1455
     1260,    -1439
     1260,    -1433
     1259,    -1425
     1263,    -1415
     1265,    -1399
     1268,    -1386
     1275,    -1379
